date,Toothache,isPartial,state,symptom
2007-04-01,45,False,AK,Toothache
2007-05-01,0,False,AK,Toothache
2007-06-01,24,False,AK,Toothache
2007-07-01,22,False,AK,Toothache
2007-08-01,0,False,AK,Toothache
2007-09-01,0,False,AK,Toothache
2007-10-01,0,False,AK,Toothache
2007-11-01,19,False,AK,Toothache
2007-12-01,19,False,AK,Toothache
2008-01-01,17,False,AK,Toothache
2008-02-01,53,False,AK,Toothache
2008-03-01,19,False,AK,Toothache
2008-04-01,0,False,AK,Toothache
2008-05-01,0,False,AK,Toothache
2008-06-01,0,False,AK,Toothache
2008-07-01,0,False,AK,Toothache
2008-08-01,34,False,AK,Toothache
2008-09-01,0,False,AK,Toothache
2008-10-01,0,False,AK,Toothache
2008-11-01,16,False,AK,Toothache
2008-12-01,0,False,AK,Toothache
2009-01-01,14,False,AK,Toothache
2009-02-01,31,False,AK,Toothache
2009-03-01,14,False,AK,Toothache
2009-04-01,0,False,AK,Toothache
2009-05-01,0,False,AK,Toothache
2009-06-01,16,False,AK,Toothache
2009-07-01,15,False,AK,Toothache
2009-08-01,15,False,AK,Toothache
2009-09-01,14,False,AK,Toothache
2009-10-01,14,False,AK,Toothache
2009-11-01,14,False,AK,Toothache
2009-12-01,0,False,AK,Toothache
2010-01-01,13,False,AK,Toothache
2010-02-01,0,False,AK,Toothache
2010-03-01,0,False,AK,Toothache
2010-04-01,13,False,AK,Toothache
2010-05-01,14,False,AK,Toothache
2010-06-01,21,False,AK,Toothache
2010-07-01,0,False,AK,Toothache
2010-08-01,12,False,AK,Toothache
2010-09-01,0,False,AK,Toothache
2010-10-01,29,False,AK,Toothache
2010-11-01,11,False,AK,Toothache
2010-12-01,23,False,AK,Toothache
2011-01-01,16,False,AK,Toothache
2011-02-01,13,False,AK,Toothache
2011-03-01,0,False,AK,Toothache
2011-04-01,8,False,AK,Toothache
2011-05-01,8,False,AK,Toothache
2011-06-01,13,False,AK,Toothache
2011-07-01,9,False,AK,Toothache
2011-08-01,24,False,AK,Toothache
2011-09-01,12,False,AK,Toothache
2011-10-01,23,False,AK,Toothache
2011-11-01,15,False,AK,Toothache
2011-12-01,15,False,AK,Toothache
2012-01-01,10,False,AK,Toothache
2012-02-01,0,False,AK,Toothache
2012-03-01,5,False,AK,Toothache
2012-04-01,9,False,AK,Toothache
2012-05-01,13,False,AK,Toothache
2012-06-01,8,False,AK,Toothache
2012-07-01,28,False,AK,Toothache
2012-08-01,7,False,AK,Toothache
2012-09-01,7,False,AK,Toothache
2012-10-01,16,False,AK,Toothache
2012-11-01,19,False,AK,Toothache
2012-12-01,0,False,AK,Toothache
2013-01-01,7,False,AK,Toothache
2013-02-01,13,False,AK,Toothache
2013-03-01,11,False,AK,Toothache
2013-04-01,8,False,AK,Toothache
2013-05-01,23,False,AK,Toothache
2013-06-01,7,False,AK,Toothache
2013-07-01,12,False,AK,Toothache
2013-08-01,18,False,AK,Toothache
2013-09-01,9,False,AK,Toothache
2013-10-01,6,False,AK,Toothache
2013-11-01,20,False,AK,Toothache
2013-12-01,17,False,AK,Toothache
2014-01-01,19,False,AK,Toothache
2014-02-01,21,False,AK,Toothache
2014-03-01,8,False,AK,Toothache
2014-04-01,6,False,AK,Toothache
2014-05-01,18,False,AK,Toothache
2014-06-01,10,False,AK,Toothache
2014-07-01,7,False,AK,Toothache
2014-08-01,13,False,AK,Toothache
2014-09-01,12,False,AK,Toothache
2014-10-01,6,False,AK,Toothache
2014-11-01,0,False,AK,Toothache
2014-12-01,12,False,AK,Toothache
2015-01-01,6,False,AK,Toothache
2015-02-01,26,False,AK,Toothache
2015-03-01,24,False,AK,Toothache
2015-04-01,12,False,AK,Toothache
2015-05-01,16,False,AK,Toothache
2015-06-01,9,False,AK,Toothache
2015-07-01,12,False,AK,Toothache
2015-08-01,6,False,AK,Toothache
2015-09-01,12,False,AK,Toothache
2015-10-01,17,False,AK,Toothache
2015-11-01,14,False,AK,Toothache
2015-12-01,6,False,AK,Toothache
2016-01-01,16,False,AK,Toothache
2016-02-01,28,False,AK,Toothache
2016-03-01,18,False,AK,Toothache
2016-04-01,13,False,AK,Toothache
2016-05-01,11,False,AK,Toothache
2016-06-01,11,False,AK,Toothache
2016-07-01,29,False,AK,Toothache
2016-08-01,18,False,AK,Toothache
2016-09-01,5,False,AK,Toothache
2016-10-01,23,False,AK,Toothache
2016-11-01,11,False,AK,Toothache
2016-12-01,8,False,AK,Toothache
2017-01-01,13,False,AK,Toothache
2017-02-01,19,False,AK,Toothache
2017-03-01,7,False,AK,Toothache
2017-04-01,18,False,AK,Toothache
2017-05-01,21,False,AK,Toothache
2017-06-01,11,False,AK,Toothache
2017-07-01,14,False,AK,Toothache
2017-08-01,15,False,AK,Toothache
2017-09-01,10,False,AK,Toothache
2017-10-01,0,False,AK,Toothache
2017-11-01,23,False,AK,Toothache
2017-12-01,13,False,AK,Toothache
2018-01-01,24,False,AK,Toothache
2018-02-01,21,False,AK,Toothache
2018-03-01,24,False,AK,Toothache
2018-04-01,10,False,AK,Toothache
2018-05-01,17,False,AK,Toothache
2018-06-01,18,False,AK,Toothache
2018-07-01,15,False,AK,Toothache
2018-08-01,22,False,AK,Toothache
2018-09-01,13,True,AK,Toothache
date,Toothache,isPartial,state,symptom
2004-01-01,58,False,AZ,Toothache
2004-02-01,56,False,AZ,Toothache
2004-03-01,73,False,AZ,Toothache
2004-04-01,0,False,AZ,Toothache
2004-05-01,0,False,AZ,Toothache
2004-06-01,0,False,AZ,Toothache
