date,cough,fever,amnesia,sore throat,sore joint,isPartial,allergy,diarrhea,runny nose,sneeze,state,itch
2008-09-01,22,42,1,6,0,False,32,24,2,5,AL,14
2008-10-01,18,51,1,10,0,False,35,18,3,5,AL,8
2008-11-01,14,55,1,11,0,False,28,15,5,4,AL,12
2008-12-01,20,55,2,9,0,False,30,16,3,2,AL,11
2009-01-01,25,44,2,11,0,False,23,18,0,4,AL,12
2009-02-01,24,37,3,9,0,False,25,13,1,4,AL,12
2009-03-01,15,38,3,8,0,False,43,23,1,6,AL,12
2009-04-01,21,40,3,11,0,False,41,21,4,3,AL,8
2009-05-01,22,48,2,10,0,False,32,21,1,5,AL,11
2009-06-01,17,37,2,8,0,False,29,20,2,4,AL,11
2009-07-01,13,33,1,5,0,False,30,22,4,2,AL,19
2009-08-01,18,50,3,7,0,False,33,19,4,5,AL,10
2009-09-01,22,56,2,14,0,False,37,16,4,4,AL,16
2009-10-01,25,51,1,10,0,False,30,26,3,0,AL,17
2009-11-01,26,50,1,11,0,False,16,28,3,7,AL,6
2009-12-01,25,67,2,12,0,False,26,24,3,5,AL,10
2010-01-01,20,54,2,9,0,False,27,27,7,4,AL,14
2010-02-01,22,50,2,13,0,False,23,22,2,3,AL,8
2010-03-01,22,49,2,9,0,False,31,27,3,2,AL,13
2010-04-01,11,39,3,7,0,False,48,26,2,6,AL,8
2010-05-01,21,39,1,9,0,False,37,25,3,6,AL,10
2010-06-01,14,35,1,10,0,False,25,28,1,1,AL,11
2010-07-01,12,36,2,11,0,False,35,25,0,3,AL,9
2010-08-01,13,46,1,11,0,False,42,28,2,4,AL,10
2010-09-01,17,48,4,12,0,False,34,32,1,2,AL,14
2010-10-01,19,51,3,9,0,False,30,18,2,4,AL,11
2010-11-01,20,45,4,10,0,False,22,24,7,4,AL,9
2010-12-01,26,54,4,17,0,False,25,28,7,2,AL,10
2011-01-01,28,54,7,10,0,False,27,28,3,3,AL,13
2011-02-01,29,54,5,15,0,False,32,26,3,5,AL,13
2011-03-01,21,53,2,12,0,False,35,26,3,4,AL,13
2011-04-01,17,49,5,10,0,False,36,25,2,4,AL,15
2011-05-01,17,50,4,9,0,False,33,25,3,4,AL,18
2011-06-01,14,46,5,14,0,False,32,33,2,3,AL,16
2011-07-01,16,45,3,8,0,False,34,31,2,3,AL,19
2011-08-01,12,47,4,11,0,False,29,32,2,3,AL,17
2011-09-01,25,49,4,13,0,False,43,33,3,5,AL,19
2011-10-01,20,56,4,14,0,False,33,33,3,2,AL,14
2011-11-01,28,54,4,11,0,False,28,31,3,5,AL,16
2011-12-01,27,57,4,14,0,False,30,34,3,4,AL,14
2012-01-01,27,61,3,14,0,False,34,27,5,4,AL,17
2012-02-01,38,52,3,13,0,False,32,26,4,2,AL,15
2012-03-01,26,52,5,13,0,False,48,34,3,4,AL,14
2012-04-01,23,52,7,13,0,False,44,32,3,5,AL,23
2012-05-01,25,55,6,13,0,False,41,30,4,4,AL,28
2012-06-01,21,49,8,11,0,False,37,37,2,4,AL,17
2012-07-01,24,43,9,9,0,False,35,33,2,3,AL,23
2012-08-01,21,44,5,11,0,False,36,35,4,4,AL,22
2012-09-01,29,57,7,12,0,False,39,33,4,5,AL,22
2012-10-01,27,62,4,10,0,False,35,37,4,4,AL,20
2012-11-01,35,56,4,19,0,False,27,35,5,5,AL,15
2012-12-01,41,77,4,20,0,False,31,39,5,5,AL,19
2013-01-01,40,60,5,17,0,False,28,40,6,6,AL,20
2013-02-01,27,54,5,18,0,False,33,40,6,6,AL,18
2013-03-01,33,50,6,16,0,False,38,43,4,7,AL,18
2013-04-01,26,54,5,17,0,False,49,42,4,4,AL,20
2013-05-01,25,45,6,15,0,False,40,37,3,3,AL,23
2013-06-01,22,48,6,12,0,False,39,39,2,3,AL,29
2013-07-01,20,44,5,12,0,False,34,42,3,4,AL,27
2013-08-01,19,45,6,12,0,False,41,39,3,4,AL,25
2013-09-01,29,53,8,16,0,False,42,33,5,4,AL,20
2013-10-01,26,48,3,13,0,False,38,41,4,4,AL,24
2013-11-01,35,52,5,15,0,False,32,39,4,4,AL,22
2013-12-01,40,71,3,20,0,False,33,40,4,5,AL,21
